ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010143961;cachet;;"-1550 / -1150  (Bronze récent)";"AO 19174; RS 8064";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143967;cachet;;"-1550 / -1150  (Bronze récent)";"AO 19180";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010143973;vase;;;"AO 19186; RS 8.377";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143974;vase;;"-1550 / -1150  (Bronze récent)";"AO 19187; RS 8.405";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143976;vase;;;"AO 19189; RS 8.362";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144017;vase;;"-1550 / -1100  (Mycénien)";"AO 19234 BIS";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144024;vase;;"-1550 / -1400  (Bronze récent I)";"AO 19250; AO 19250 A; AO 19250 B";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 15 Ras Shamra-Ougarit : la céramique locale";
cl010144029;vase;;;"AO 19255";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144039;spatule;;;"AO 19265; RS 9.158";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144040;spatule;;;"AO 19266; RS 9.452";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144049;amulette;;;"AO 19288; RS 9.254";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144053;"scarabée ; cachet";;"-1400 / -1200  (Bronze récent II)";"AO 19292; RS 6.093";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010144070;"scarabée ; cachet";;"-1550 / -1150  (Bronze récent)";"AO 19308";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010144071;"boucle d'oreille";;;"AO 19309; RS 9.571";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144085;poignard;;"-3300 / -1150  (Bronze)";"AO 19323; RS 9.724-2";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144108;vase;;;"AO 19344; RS 9.412";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144109;vase;;;"AO 19345";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144112;vase;;;"AO 19348; RS 9357";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144113;vase;;;"AO 19349; RS 9.341";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144116;vase;;;"AO 19351; RS 9353";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144118;vase;;;"AO 19353; RS 9358";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144124;vase;;;"AO 19359; RS 9.659";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144126;vase;;;"AO 19360";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144128;vase;;;"AO 19362";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144129;vase;;;"AO 19363";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144138;vase;;;"AO 19377; RS 9375";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144166;pendentif;;;"AO 19400; RS 9.260";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144169;pendentif;;;"AO 19403; RS 9489";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144171;"objet indéterminé ; manche d'outil";;"-1550 / -1150  (Bronze récent)";"AO 19405; RS 9161";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144182;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19416; RS 9049";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144185;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19419; RS 9105";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144693;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 19981; RS 11.[900]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144707;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 19994; RS 1-11.[046]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010145084;vase;;"vers -1600";"AO 20369; RS 11.335";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 15 Ras Shamra-Ougarit : la céramique locale";
cl010145089;vase;;;"AO 20373; RS 11.645";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010145090;vase;;;"AO 20374; RS 9811";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010145101;lingot;;;"AO 20384; RS 6011";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010145103;lingot;;;"AO 20386";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010145731;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 21086; RS [Varia 19]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010145736;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 21090; RS [Varia 23]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010146861;"vase miniature";;"-2100 / -1200  (Bronze moyen [?] ; Bronze récent II [?])";"RS 1-31.[004]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010149853;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 25171; RS 13.014 bis";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010149857;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 25175; RS 1-11.[020]; RS 5.221";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150163;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26133; RS 10.093";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150165;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 26135";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150166;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26136";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150519;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26139";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150521;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26140";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150526;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26145";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150736;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26331; RS 11.205";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150741;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 26336; RS 11.349";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150742;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26337; RS 1932";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150747;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26341; RS 50";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010151086;cachet;;;"AO 26664";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010151895;fusaïole;;"-1550 / -1150  (Bronze récent)";"AO 27602; RS 81.[4017]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010151896;disque;;"-1550 / -1150  (Bronze récent)";"AO 27604";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010152285;"sceau cylindre";;;"AO 28028";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010152544;scellement;;;"AO 28271";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153798;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 29391; RS [Varia 32]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153800;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 29393; RS [Varia 34]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 12 Littérature et mythologie";
cl010153840;anneau;;;"AO 29444";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153912;"outil ; ustensile domestique";;;"AO 29520";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153914;épingle;;"-3300 / -1150  (Bronze)";"AO 29522";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153916;aiguille;;"-3300 / -1150  (Bronze)";"AO 29524";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153917;aiguille;;;"AO 29525";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153919;"instrument et objet divers";;;"AO 29527; RS 8197";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153924;"instrument et objet divers";;;"AO 29531";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010154546;figurine;;;"AO 30229";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010154845;"perle ; collier";;"-1550 / -1150  (Bronze récent)";"AO 30802";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010155889;hache;;"-3300 / -1150  (Bronze)";"AO 31765";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"non exposé";
cl010156389;vase;;;"AO 32200; RS 7.25; RS 7.025";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156390;vase;;;"AO 32201";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156394;vase;;;"AO 32205; RS 8.360";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156395;vase;;;"AO 32206; RS 7.250";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156407;vase;;;"AO 32217";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156408;vase;;;"AO 32218";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156416;vase;;"-6900 / -5300  (Néolithique)";"AO 32225; RS 53";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156417;vase;;"-1550 / -1150  (Bronze récent)";"AO 32226; RS 6.125";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156433;vase;;;"AO 32240";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010201014;"plateau de balance";;"-3300 / -1150  (Bronze)";"AO 14775 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010201018;"plateau de balance";;"-3300 / -1150  (Bronze)";"AO 19091 B; RS 8.045";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010245873;vase;;"-1550 / -1150  (Bronze récent)";"AO 32220; RS 7.588";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010361210;tablette;;"-1550 / -1150  (Bronze récent)";"AO 19983; WCT102137; L.85; RS 8.277";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010427904;"pierre ; outil";;;"Enk. 49 1055";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443574;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 2";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443575;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 3";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443576;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 4";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443577;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 5";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443578;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 6";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443579;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 7";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443580;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 8";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443581;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 9";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443582;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 10";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443585;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 13";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443587;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 15";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
