isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_01464	KTU 1.69; KTU2 1.69; CTU 1.69; CAT 1.69; RS 5.213; AO 17.294; CTA 163	Akkadian religious text	scribal exercise, religious text in cuneiform alphabetic script Ugaritic Texts Fragmentary text about Anat, resembling KTU 1.3 ii and iii		Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01247	KTU 1.7; CTA 7; CAT 1.7; KTU2 1.7; CTU 1.7; RS 5.180; RS 5.198	Myth		Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06133	KTU 1.70, CTA 162, KTU2 1.70, KTU3 1.70, CTU 1.70, CAT 1.70	Scribal exercise, Akkadian religious text in cuneiform alphabetic script		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_01268	KTU 1.71; CTA 160; CAT 1.71; KTU2 1.71; CTU 1.71; RS 5.300	Hippiatric Manual	Hippiatric Text, Medical Prescription	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01465	KTU 1.72; KTU2 1.72; CTU 1.72; CAT 1.72; RS 5.301; RS 5.285; A 2730; CTA 161; M 3348; AO 17.273	Hippiatric text, veterinary care for horses	hippiatric text, medical prescription scribal exercise, Akkadian religious text, Ugaritic religious text	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01466	KTU 1.73; KTU2 1.73; CTU 1.73; CAT 1.73; RS 5.303bis; A 2806; CTA 165	Religious text in Akkadian and Ugaritic		Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01467	KTU 1.75; KTU2 1.75; CTU 1.75; CAT 1.75; RS 6.174; AO 18.846; CTA 49	Fragmentary text mentioning sacrifices	myth?, religious?	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01468	KTU 1.76; KTU2 1.76; CTU 1.76; CAT 1.76; RS 6.215; AO 18.845; CTA 41	Fragmentary list of sacrifices	sacrifice list? ritual?	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_06134	KTU 1.78, KTU2 1.78, KTU3 1.78, CTU 1.78, CAT 1.78	Omen (liver?), report		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06135	KTU 1.79, KTU2 1.79, KTU3 1.79, CTU 1.79, CAT 1.79	Scribal exercise?, list (sacrifices)?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01248	KTU 1.8; CTA 8; CAT 1.8; KTU2 1.8; CTU 1.8; RS 3.364	Baal Myth	Excerpts from KTU 1.4, scribal exercise?	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06136	KTU 1.80, KTU2 1.80, KTU3 1.80, CTU 1.80, CAT 1.80	Scribal exercise?, list (sacrifices), votive text		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06137	KTU 1.81, KTU2 1.81, KTU3 1.81, CTU 1.81, CAT 1.81	List (sacrifices)?, ritual?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05468	KTU 1.82; KTU2 1.82; CTU 1.82; CAT 1.82; RS 15.134; DO 4001	Dialogue between Ba'al and 'Anat after their victory over the dragon Tannin	Mythological tablet Threat by a sea monster, appeal made to Yamm to restrain monster	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01269	KTU 1.83; CAT 1.83; KTU2 1.83; CTU 1.83; RS 16.266	Binding of Yamm		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06138	KTU 1.84, KTU2 1.84, KTU3 1.84, CTU 1.84, CAT 1.84	Ritual		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06139	KTU 1.85, KTU2 1.85, KTU3 1.85, CTU 1.85, CAT 1.85	Hippiatric text, medical prescription		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06140	KTU 1.86, KTU2 1.86, KTU3 1.86, CTU 1.86, CAT 1.86	Myth?, ritual?, incantation?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05469	KTU 1.87; KTU2 1.87; CTU 1.87; CAT 1.87; RS 18.056; DO 4799	A list of sacrifices beginning with the month Ra'shu-yeni	List (sacrifices)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06141	KTU 1.88, KTU2 1.88, KTU3 1.88, CTU 1.88, CAT 1.88	Myth? Medical prescription?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06142	KTU 1.89, KTU2 1.89, KTU3 1.89, CTU 1.89, CAT 1.89	Myth? Religious?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01249	KTU 1.9; CTA 9; CAT 1.9; KTU2 1.9; CTU 1.9; RS 5.229	Myth	Scribal exercise? Fragment of myth about Baal or his son	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_05470	KTU 1.90; KTU2 1.90; CTU 1.90; CAT 1.90; RS 19.013; DO 5000	Regarding the god Rsp-hgb	"Ritual, list (sacrifices), list (gifts) List of cultic ceremonies identified as ""royal sacrificial rites"""	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01270	KTU 1.91; CAT 1.91; KTU2 1.91; CTU 1.91; RS 19.015	Catalogue of Royal Festivals		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06143	KTU 1.92, KTU2 1.92, KTU3 1.92, CTU 1.92, CAT 1.92	Myth		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06144	KTU 1.93, KTU2 1.93, KTU3 1.93, CTU 1.93, CAT 1.93	Myth; scribal exercise?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06145	KTU 1.94, KTU2 1.94, KTU3 1.94, CTU 1.94, CAT 1.94	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06146	KTU 1.95, KTU2 1.95, KTU3 1.95, CTU 1.95, CAT 1.95	Myth or religious?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01271	KTU 1.96; CAT 1.96; KTU2 1.96; CTU 1.96; RS 22.225	Incantation against Evil Eye	"Protagonist (Anat?) consumes flesh and drinks blood of his/her ""brother"""	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06147	KTU 1.97, KTU2 1.97, KTU3 1.97, CTU 1.97, CAT 1.97	Hippiatric text, medical prescription		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06148	KTU 1.98, KTU2 1.98, KTU3 1.98, CTU 1.98, CAT 1.98	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01469	KTU 2.1; KTU2 2.1; CTU 2.1; CAT 2.1; RS 3.427; A 2723; CTA 57; M 3343; AO 17.305	fragmentary letter	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_01470	KTU 2.10; KTU2 2.10; CTU 2.10; CAT 2.10; RS 4.475; A 2709; CTA 53; M 3330; AO 17.316	letter of Ewri-sharri to Pilisiya	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_01471	KTU 2.11; KTU2 2.11; CTU 2.11; CAT 2.11; RS 8.315; AO 19.940; CTA 51	"letter to ""our lady"" from TLMYN"	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_01472	KTU 2.12; KTU2 2.12; CTU 2.12; CAT 2.12; RS 9.479A; A 2761; CTA 52; M 8219; AO 19.431	letter to the queen from TLMYN	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_01473	KTU 2.13; KTU2 2.13; CTU 2.13; CAT 2.13; RS 11.872; A 2807; CTA 50; M 3374	letter of the king to the queen mother	letter	Ugaritic Texts	Letters	Archaeological Museum, Aleppo, Syria
ISF_TXT_06184	KTU 2.15, KTU2 2.15, KTU3 2.15, CTU 2.15, CAT 2.15	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06185	KTU 2.16, KTU2 2.16, KTU3 2.16, CTU 2.16, CAT 2.16	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06186	KTU 2.17, KTU2 2.17, KTU3 2.17, CTU 2.17, CAT 2.17	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06187	KTU 2.18, KTU2 2.18, KTU3 2.18, CTU 2.18, CAT 2.18	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06188	KTU 2.19, KTU2 2.19, KTU3 2.19, CTU 2.19, CAT 2.19	Legal: record of manumission of a royal slave (Freistellungsurkunde)		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_01474	KTU 2.2; KTU2 2.2; CTU 2.2; CAT 2.2; RS 3.334; AO 17.290; CTA 59	"letter to ""my friend"""	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_06189	KTU 2.20, KTU2 2.20, KTU3 2.20, CTU 2.20, CAT 2.20	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06190	KTU 2.21, KTU2 2.21, KTU3 2.21, CTU 2.21, CAT 2.21	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06191	KTU 2.22, KTU2 2.22, KTU3 2.22, CTU 2.22, CAT 2.22	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06192	KTU 2.23, KTU2 2.23, KTU3 2.23, CTU 2.23, CAT 2.23	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06193	KTU 2.24, KTU2 2.24, KTU3 2.24, CTU 2.24, CAT 2.24	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06194	KTU 2.25, KTU2 2.25, KTU3 2.25, CTU 2.25, CAT 2.25	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06195	KTU 2.26, KTU2 2.26, KTU3 2.26, CTU 2.26, CAT 2.26	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06196	KTU 2.27, KTU2 2.27, KTU3 2.27, CTU 2.27, CAT 2.27	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06197	KTU 2.28, KTU2 2.28, KTU3 2.28, CTU 2.28, CAT 2.28	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06198	KTU 2.29, KTU2 2.29, KTU3 2.29, CTU 2.29, CAT 2.29	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_01475	KTU 2.3; KTU2 2.3; CTU 2.3; CAT 2.3; RS 1.043; RS 1.013; A 2746; CTA 54; M 3357; AO 12.008; AO 12.024	fragmentary letter	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_06199	KTU 2.30, KTU2 2.30, KTU3 2.30, CTU 2.30, CAT 2.30	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06200	KTU 2.31, KTU2 2.31, KTU3 2.31, CTU 2.31, CAT 2.31	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06201	KTU 2.32, KTU2 2.32, KTU3 2.32, CTU 2.32, CAT 2.32	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06202	KTU 2.33, KTU2 2.33, KTU3 2.33, CTU 2.33, CAT 2.33	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06203	KTU 2.34, KTU2 2.34, KTU3 2.34, CTU 2.34, CAT 2.34	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06204	KTU 2.35, KTU2 2.35, KTU3 2.35, CTU 2.35, CAT 2.35	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06205	KTU 2.36, KTU 2.37, KTU 2.73, KTU 2.74, KTU 9.176, KTU 9.177, KTU2 2.36, KTU2 2.37, KTU2 2.73, KTU2 2.74, KTU2 9.176, KTU2 9.177, KTU3 2.36, KTU3 2.37, KTU3 2.73, KTU3 2.74, KTU3 9.176, KTU3 9.177, CTU 2.36, CTU 2.37, CTU 2.73, CTU 2.74, CTU 9.176, CTU 9.177, CAT 2.36, CAT 2.37, CAT 2.73, CAT 2.74, CAT 9.176, CAT 9.177	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06206	KTU 2.37, KTU 2.36, KTU2 2.37, KTU2 2.36, KTU3 2.37, KTU3 2.36, CTU 2.37, CTU 2.36, CAT 2.37, CAT 2.36	Letter, part of bottom of KTU 2.36		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06207	KTU 2.38, KTU2 2.38, KTU3 2.38, CTU 2.38, CAT 2.38	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06208	KTU 2.39, KTU2 2.39, KTU3 2.39, CTU 2.39, CAT 2.39	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_01282	KTU 2.4; CTA 55; CAT 2.4; KTU2 2.4; CTU 2.4; RS 1.018	Letter Concerning Two Deities	Letter Concerning Two Deities	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_06209	KTU 2.40, KTU2 2.40, KTU3 2.40, CTU 2.40, CAT 2.40	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06210	KTU 2.41, KTU2 2.41, KTU3 2.41, CTU 2.41, CAT 2.41	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06211	KTU 2.42, KTU2 2.42, KTU3 2.42, CTU 2.42, CAT 2.42	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06212	KTU 2.43, KTU2 2.43, KTU3 2.43, CTU 2.43, CAT 2.43	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06213	KTU 2.44, KTU2 2.44, KTU3 2.44, CTU 2.44, CAT 2.44	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06214	KTU 2.45, KTU2 2.45, KTU3 2.45, CTU 2.45, CAT 2.45	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06215	KTU 2.46, KTU2 2.46, KTU3 2.46, CTU 2.46, CAT 2.46	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06216	KTU 2.47, KTU2 2.47, KTU3 2.47, CTU 2.47, CAT 2.47	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06217	KTU 2.48, KTU2 2.48, KTU3 2.48, CTU 2.48, CAT 2.48	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06218	KTU 2.49, KTU2 2.49, KTU3 2.49, CTU 2.49, CAT 2.49	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06219	KTU 2.50, KTU2 2.50, KTU3 2.50, CTU 2.50, CAT 2.50	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06220	KTU 2.51, KTU2 2.51, KTU3 2.51, CTU 2.51, CAT 2.51	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06221	KTU 2.52, KTU2 2.52, KTU3 2.52, CTU 2.52, CAT 2.52	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06222	KTU 2.53, KTU2 2.53, KTU3 2.53, CTU 2.53, CAT 2.53	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06223	KTU 2.54, KTU2 2.54, KTU3 2.54, CTU 2.54, CAT 2.54	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06224	KTU 2.55, KTU2 2.55, KTU3 2.55, CTU 2.55, CAT 2.55	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06225	KTU 2.56, KTU2 2.56, KTU3 2.56, CTU 2.56, CAT 2.56	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06226	KTU 2.57, KTU2 2.57, KTU3 2.57, CTU 2.57, CAT 2.57	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06227	KTU 2.58, KTU2 2.58, KTU3 2.58, CTU 2.58, CAT 2.58	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06228	KTU 2.59, KTU2 2.59, KTU3 2.59, CTU 2.59, CAT 2.59	Letter(?)		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06183	KTU 2.6, CTA 56, KTU2 2.6, KTU3 2.6, CTU 2.6, CAT 2.6	Letter		Ugaritic Texts	Letters	National Museum, Aleppo, Syria
ISF_TXT_06111	KTU 2.60, KTU2 2.60, KTU3 2.60, CTU 2.60, CAT 2.60	Letter(?)		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06229	KTU 2.61, KTU2 2.61, KTU3 2.61, CTU 2.61, CAT 2.61	Ugaritic Tablet KTU 2.61		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06230	KTU 2.62, KTU2 2.62, KTU3 2.62, CTU 2.62, CAT 2.62	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06231	KTU 2.63, KTU2 2.63, KTU3 2.63, CTU 2.63, CAT 2.63	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06232	KTU 2.64, KTU2 2.64, KTU3 2.64, CTU 2.64, CAT 2.64	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06233	KTU 2.65, KTU2 2.65, KTU3 2.65, CTU 2.65, CAT 2.65	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06234	KTU 2.66, KTU 2.67, KTU2 2.66, KTU2 2.67, KTU3 2.66, KTU3 2.67, CTU 2.66, CTU 2.67, CAT 2.66, CAT 2.67	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06235	KTU 2.67, KTU 2.66, KTU2 2.67, KTU2 2.66, KTU3 2.67, KTU3 2.66, CTU 2.67, CTU 2.66, CAT 2.67, CAT 2.66	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06236	KTU 2.68, KTU2 2.68, KTU3 2.68, CTU 2.68, CAT 2.68	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06237	KTU 2.69, KTU2 2.69, KTU3 2.69, CTU 2.69, CAT 2.69	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_01476	KTU 2.7; KTU2 2.7; CTU 2.7; CAT 2.7; RS 2.[025]; RS 1.026; AO 19.998C; AO 12.000; CTA 62; CTA 110	fragmentary letter	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_06238	KTU 2.70, KTU2 2.70, KTU3 2.70, CTU 2.70, CAT 2.70	Letter		Ugaritic Texts	Letters	National Museum, Aleppo, Syria
ISF_TXT_06239	KTU 2.71, KTU2 2.71, KTU3 2.71, CTU 2.71, CAT 2.71	Letter; scribal exercise?		Ugaritic Texts	Letters	National Museum, Aleppo, Syria
ISF_TXT_06240	KTU 2.72, KTU2 2.72, KTU3 2.72, CTU 2.72, CAT 2.72	Letter		Ugaritic Texts	Letters	National Museum, Aleppo, Syria
ISF_TXT_06241	KTU 2.73, KTU2 2.73, KTU3 2.73, CTU 2.73, CAT 2.73	Letter		Ugaritic Texts	Letters	National Archaeological Museum, Damascus, Syria
ISF_TXT_06242	KTU 2.74, KTU2 2.74, KTU3 2.74, CTU 2.74, CAT 2.74	Letter		Ugaritic Texts	Letters	National Museum, Aleppo, Syria
ISF_TXT_06243	KTU 2.75, KTU2 2.75, KTU3 2.75, CTU 2.75, CAT 2.75	Letter		Ugaritic Texts	Letters	National Museum, Aleppo, Syria
ISF_TXT_01477	KTU 2.8; KTU2 2.8; CTU 2.8; CAT 2.8; RS 1.032; A 2728; CTA 60; M 3346; AO 12.022	fragmentary letter	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_06244	KTU 2.82, KTU2 2.82, KTU3 2.82, CTU 2.82, CAT 2.82	Letter		Ugaritic Texts	Letters	National Museum, Aleppo, Syria
ISF_TXT_01478	KTU 2.9; KTU2 2.9; CTU 2.9; CAT 2.9; RS 2.[026]; AO 19.998E; CTA 61	fragmentary letter	letter	Ugaritic Texts	Letters	Louvre Museum, Paris, France
ISF_TXT_07318	KTU 2.96; KTU2 7.59; KTU3 2.96; CTA 210 D; CTU 2.96; CAT 2.96; RS 8.[537]; M 3458	= A7307 Letter (formerly KTU2 7.59) Ugaritic Tablet KTU 2.96		Ugaritic Texts	Letters	National Museum of Aleppo, Syria
ISF_TXT_01479	KTU 3.1; KTU2 3.1; CTU 3.1; CAT 3.1; RS 11.802; RS 11.782; RS 11.780; RS 11.772; A 2820; CTA 64; M 3428	work copy of treaty of Niqmaddu of Ugarit with the Hittites	treaty	Ugaritic Texts	Legal Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_07319	KTU 3.11; KTU2 7.63; KTU3 3.11; CTU 3.11; CAT 3.11; RS 15.117; DO 3986	Legal text; uncertain, probably legal document; royalty titulary reflecting sacral kingship, list of royal offices, letter, legal text, administrative document (formerly KTU 7.63)	Ugaritic Tablet KTU 3.11	Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06245	KTU 3.2, KTU2 3.2, KTU3 3.2, CTU 3.2, CAT 3.2	Royal grant of property (Schenkungsurkunde)		Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07320	KTU 3.22; KTU2 4.548; KTU3 3.22; CTU 3.22; CAT 3.22; RS 18.474	Legal text (formerly KTU2 4.548)	Ugaritic Tablet KTU 3.22	Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07321	KTU 3.23; KTU2 4.632; KTU3 3.23; CTU 3.23; CAT 3.23; RS 19.073; DO 5058	Legal; a series of debt notes with witnesses involved; record, quantities of silver and tools owed by individuals (formerly KTU2 4.632)	Ugaritic Tablet KTU 3.23	Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07322	KTU 3.24; KTU2 4.637; KTU3 3.24; CTU 3.24; CAT 3.24; RS 19.100 A	Legal, unt-obligation (formerly KTU2 4.637)	Ugaritic Tablet KTU 3.24	Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07323	KTU 3.25; KTU2 4.644; KTU3 3.25; CTU 3.25; CAT 3.25; RS 19.106; DO 5085	Legal text (formerly KTU 4.644)	Ugaritic Tablet KTU 3.25	Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07324	KTU 3.26; KTU2 4.699; KTU3 3.26; CTU 3.26; CAT 3.26; RS 20.240; DO 5404	Legal, list of persons acting as sureties for their personnel; Burgschaftstext text; record, quantities of silver owed by individuals (formerly KTU 4.699)	Ugaritic Tablet KTU 3.26	Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06246	KTU 3.3, KTU2 3.3, KTU3 3.3, CTU 3.3, CAT 3.3	Multiple guarantee on behalf of an individual		Ugaritic Texts	Legal Texts	National Archaeological Museum, Damascus, Syria
